category,service,translator_us_citizen,country,uom,src,translation_direction,target,vendor_rate,quantity,subtotal
Interpretation,Simultaneous Interpretation,1,NULL,Hour,ENGLISH,To,SPANISH,104.75,2,209.5
Interpretation,Simultaneous Interpretation,0,UNITED STATES,Hour,RUSSIAN,To,ENGLISH,101,37,3737
Interpretation,Simultaneous Interpretation,NULL,NULL,Hour,ENGLISH,To,SPANISH,189,2,378
Interpretation,Simultaneous Interpretation,0,TUNISIA,Day,ENGLISH,To,FRENCH,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,1,ARGENTINA,Hour,ENGLISH,To,SPANISH,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,NULL,KYRGYZSTAN,Half Day,RUSSIAN,To,ENGLISH,200,1,200
Interpretation,Simultaneous Interpretation,0,UNITED STATES,Minimum Fee,TURKISH,To,ENGLISH,276,2,552
Interpretation,Simultaneous Interpretation,1,HUNGARY,Day,ENGLISH,To,HUNGARIAN,676,6,4056
Interpretation,Simultaneous Interpretation,0,UZBEKISTAN,Day,RUSSIAN,To,ENGLISH,500,5,2500
Interpretation,Simultaneous Interpretation,NULL,NULL,Hour,CZECH,To,ENGLISH,181,3,543
Interpretation,Simultaneous Interpretation,NULL,Gambia,Day,ENGLISH,To,PORTUGUESE,1510,5,7550
Interpretation,Simultaneous Interpretation,NULL,NULL,Hour,ENGLISH,To,TURKISH,205,2,410
Interpretation,Simultaneous Interpretation,NULL,BRAZIL,NULL,ENGLISH,To,PORTUGUESE,1970,5,9850
Interpretation,Simultaneous Interpretation,NULL,SLOVAKIA,Day,ENGLISH,To,SLOVAK,1380,5,6900
Interpretation,Simultaneous Interpretation,NULL,MOZAMBIQUE,8-Hr Day,ENGLISH,To,PORTUGUESE (CONTINENTAL),755,10,7550
Interpretation,Simultaneous Interpretation,NULL,VIETNAM,Hour,ENGLISH,To,VIETNAMESE,121,2,242
Interpretation,Simultaneous Interpretation,NULL,THAILAND,Day,ENGLISH,To,THAI,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,NULL,NULL,Half Day,ENGLISH,To,PORTUGUESE,450,2,900
Interpretation,Simultaneous Interpretation,0,SRI LANKA,Hour,ENGLISH,To,BANGLADESHI,17,48,816
Interpretation,Simultaneous Interpretation,NULL,MEXICO,Day,ENGLISH,To,SPANISH,550,4,2200
Interpretation,Simultaneous Interpretation,NULL,VIETNAM,Day,ENGLISH,To,VIETNAMESE,880,3,2640
Interpretation,Simultaneous Interpretation,NULL,NULL,Hour,ENGLISH,To,TURKISH,205,2,410
Interpretation,Simultaneous Interpretation,1,BRAZIL,Each,ENGLISH,To,PORTUGUESE,NULL,NULL,0
Interpretation,Simultaneous Interpretation,0,DOMINICAN REPUBLIC,Hour,ENGLISH,To,SPANISH,110,1.5,165
Interpretation,Simultaneous Interpretation,NULL,NULL,Hour,ENGLISH,To,VIETNAMESE,121,2,242
Interpretation,Simultaneous Interpretation,0,CROATIA,Day,ENGLISH,To,BOSNIAN,620,2,1240
Interpretation,Simultaneous Interpretation,NULL,ETHIOPIA,Day,ENGLISH,To,FRENCH,2275,5,11375
Interpretation,Simultaneous Interpretation,1,UNITED STATES,NULL,ENGLISH,To,UKRAINIAN,200,4,800
Interpretation,Simultaneous Interpretation,0,THAILAND,Day,ENGLISH,To,THAI,378,15,5670
Interpretation,Simultaneous Interpretation,NULL,NULL,Day,ENGLISH,To,PORTUGUESE,999,3,2997
Interpretation,Simultaneous Interpretation,NULL,ROMANIA,Day,ENGLISH,To,ROMANIAN,1360,4,5440
Interpretation,Simultaneous Interpretation,1,ROMANIA,Day,ENGLISH,To,ROMANIAN,533,8,4264
Interpretation,Simultaneous Interpretation,1,PERU,Day,ENGLISH,To,SPANISH,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,NULL,POLAND,NULL,ENGLISH,To,UKRAINIAN,905,5,4525
Interpretation,Simultaneous Interpretation,NULL,UNITED STATES,8-Hr Day,ENGLISH,To,JAPANESE,5080,5,25400
Interpretation,Simultaneous Interpretation,1,NULL,Hour,ENGLISH,To,RUSSIAN,123.75,8,990
Interpretation,Simultaneous Interpretation,NULL,ROMANIA,NULL,ENGLISH,To,ROMANIAN,6664.84,1,6664.84
Interpretation,Simultaneous Interpretation,1,NULL,NULL,ENGLISH,To,RUSSIAN,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,NULL,ROMANIA,4-hr Half Day,UKRAINIAN,To,ENGLISH,487,1,487
Interpretation,Simultaneous Interpretation,0,SOUTH AFRICA,Each,PORTUGUESE,To,ENGLISH,1470,5,7350
Interpretation,Simultaneous Interpretation,NULL,NULL,Hour,ENGLISH,To,VIETNAMESE,121,2,242
Interpretation,Simultaneous Interpretation,NULL,THAILAND,Half Day,ENGLISH,To,THAI,585,1,585
Interpretation,Simultaneous Interpretation,NULL,NULL,Half Day,ENGLISH,To,PORTUGUESE,450,2,900
Interpretation,Simultaneous Interpretation,0,DOMINICAN REPUBLIC,Day,ENGLISH,To,SPANISH,350,3,1050
Interpretation,Simultaneous Interpretation,1,ROMANIA,8-Hr Day,ENGLISH,To,ROMANIAN,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,1,NULL,Hour,ENGLISH,To,SPANISH,NULL,NULL,NULL
