code,name,city,country_id,location
UAK,Narsarsuaq Airport,Narsaq,GL,POINT (-45.316666 61.166668)
TYD,Tynda Airport,Tynda,RU,POINT (124.77325658919317 55.2843738)
UAQ,San Juan Airport,San Juan,AR,POINT (-68.51667 -31.55)
UBA,Uberaba Airport,Uberaba,BR,POINT (-47.958332 -19.776388)
UBJ,Yamaguchi Ube Airport,Ube,JP,POINT (131.27519368983468 33.9294836)
UBN,New Ulaanbaatar International Airport,Zuunmod,MN,POINT (106.818889 47.65)
UBP,Ubon Ratchathani International Airport,Ubon Ratchathani,TH,POINT (104.87068 15.246491)
UCT,Ukhta Airport,Sosnogorsk,RU,POINT (53.80787502884279 63.56549785)
UDI,Uberlandia-Ten. Cel. Av. Cesar Bombonato Airport,Uberlandia,BR,POINT (-48.233334 -18.9)
UEL,Quelimane Airport,Quelimane,MZ,POINT (36.865555 -17.847221)
UEO,Kume-jima Airport,Naha-shi,JP,POINT (126.719444 26.365278)
UIH,Phu Cat Airport,Qui Nhon,VN,POINT (109.22639 13.766111)
UCB,Ulanqab Jining Airport,Jining,MN,POINT (113.1319445 41.1219377)
UIO,Mariscal Sucre International Airport,Quito,EC,POINT (-78.49053 -0.145528)
UIP,Pluguffan Airport,Pluguffan,FR,POINT (-4.170833 47.974445)
UKA,Ukunda Airport,Gazi,KE,POINT (39.566666 -4.3)
ULH,Prince Abdul Majeed bin Abdulaziz Airport,Al 'Ula,SA,POINT (37.866665 26.616667)
ULY,Ulyanovsk Vostochny Airport,Isheyevka,RU,POINT (48.216667 54.266666)
UKB,Kobe Airport,Kobe,JP,POINT (135.22785050798507 34.63428055)
UNN,Ranong Airport,Ranong,TH,POINT (98.629166 9.852778)
UPN,Licenciado y General Ignacio Lopez Rayon Airport,Uruapan,MX,POINT (-102.04722 19.411112)
URG,Ruben Berta Airport,Uruguaiana,BR,POINT (-57.038334 -29.781668)
URA,Uralsk Airport,Oral,KZ,POINT (51.541522050576205 51.15188705)
UPG,Sultan Hasanuddin International Airport,Makassar,ID,POINT (119.55303856777952 -5.07668215)
URE,Kuressaare Airport,Kuressaare,EE,POINT (22.50913324606583 58.2345785)
URS,Kursk Vostochny Airport,Kursk,RU,POINT (36.292384936972404 51.752429250000006)
UUS,Yuzhno-Sakhalinsk Airport,Yuzhno-Sakhalinsk,RU,POINT (142.75 46.966667)
USK,Usinsk Airport,Usinsk,RU,POINT (57.4 65.95)
UVI,União da Vitória Airport,Porto Uniao,BR,POINT (-51.068889 -26.231667)
USM,Koh Samui Airport,Ko Samui,TH,POINT (100.06319930633575 9.5488263)
UYN,Yulin Yuyang Airport,Yulin,CN,POINT (109.73038 38.274155)
UST,St. Augustine Airport,Villano Beach,US,POINT (-81.333336 29.95)
USN,Ulsan Airport,Ulsan,KR,POINT (129.35279208634356 35.5935453)
USR,Ust-Nera Airport,Ust-Nera,RU,POINT (143.11385789052775 64.5499628)
UTP,Utapao Airport,Ban Chang,TH,POINT (101.01667 12.683333)
UTT,Umtata Airport,Mthatha,ZA,POINT (28.783333 -31.583332)
UTH,Udon Thani International Airport,Udon Thani,TH,POINT (102.7775596 17.3867791)
UTN,Upington Airport,Upington,ZA,POINT (21.258329003972364 -28.402504)
UUA,Bugulma Airport,Bugul'ma,RU,POINT (52.79764179905476 54.63757215)
UUD,Ulan-Ude Airport,Zarechnyy,RU,POINT (107.44900751452916 51.80990495)
VCL,Chu Lai International Airport,Nui Thanh,VN,POINT (108.7125534766665 15.4075042)
UZR,Urzhar Airport,Urzhar,KZ,POINT (81.6558493669576 47.0891041)
VAG,Major-Brigadeiro Trompowsky Airport,Varginha,BR,POINT (-45.433334 -21.55)
VAA,Vaasa Airport,Ristinummi,FI,POINT (21.7641844 63.0449579)
VAW,Vardoe Airport,Vuorea,NO,POINT (31.045555 70.35472)
